french,fertility,prob
parlement,4,0.33948866389040555
parlement,2,0.1283503080389724
parlement,3,0.4889801489916966
parlement,5,0.04198657040063088
parlement,6,0.0011943086782944866
une,0,0.11761133356813966
une,2,0.13799759847753237
une,3,0.006352636214448581
une,1,0.7380384317398794
sagit,7,7.181961423227213e-5
sagit,4,0.5286966416945279
sagit,3,0.28017294736558956
sagit,5,0.17601137827069788
sagit,6,0.015047213054952293
observe,0,0.8288014817211505
observe,2,0.007709977340943739
observe,1,0.16348854093790566
cette,0,0.8626513373141815
cette,2,0.004985247782192118
cette,1,0.1323634149036264
du,0,0.7875524272325951
du,2,0.012248429720757872
du,1,0.200199143046647
cela,0,0.8909047376027008
cela,2,0.0029331416135957725
cela,1,0.1061621207837034
invite,0,0.2283144591727089
invite,2,0.09557549018598151
invite,3,0.0033913250248101107
invite,1,0.6727187256164995
null,0,0.6314858057386189
null,2,0.04717290076591927
null,3,0.0018470002540416932
null,1,0.3194942932414202
nous,0,0.8909039481637171
nous,2,0.0029331958625689455
nous,1,0.10616285597371392
et,0,0.09248915364095278
et,2,0.0941432831356702
et,3,0.002529692589697742
et,1,0.8108378706336793
toujours,0,0.8909039481637171
toujours,2,0.0029331958625689455
toujours,1,0.10616285597371392
nikitin,0,0.7875524272325952
nikitin,2,0.01224842972075787
nikitin,1,0.200199143046647
relative,0,0.8909047376027007
relative,2,0.002933141613595779
relative,1,0.10616212078370359
fait,0,0.8909047376027006
fait,2,0.0029331416135957786
fait,1,0.10616212078370363
principes,0,0.8909039481637171
principes,2,0.0029331958625689455
principes,1,0.10616285597371393
minute,0,0.014711772725799772
minute,4,0.0033229056055088958
minute,2,0.5881576487962512
minute,3,0.08927908770610593
minute,1,0.3045285851663343
présidente,0,0.826051752087834
présidente,2,0.008157778336359741
présidente,1,0.16579046957580623
suggéré,0,0.8825616803908833
suggéré,2,0.003424907083107463
suggéré,1,0.11401341252600924
malgré,0,0.8909047376027007
malgré,2,0.002933141613595779
malgré,1,0.1061621207837036
est,0,0.8825616803908831
est,2,0.003424907083107471
est,1,0.11401341252600942
ceci,0,0.00586383419885066
ceci,4,0.002087814525927434
ceci,2,0.7176334473735291
ceci,3,0.08063259854375814
ceci,1,0.19378230535793464
monsieur,0,0.8334661785701901
monsieur,2,0.00711721715310657
monsieur,1,0.1594166042767032
le,0,0.4634846881285815
le,2,0.05058354740009307
le,3,0.0012601310096142333
le,1,0.48467163346171116
des,0,0.8909039481637171
des,2,0.0029331958625689455
des,1,0.10616285597371394
debout,0,0.8288014817211505
debout,2,0.007709977340943739
debout,1,0.16348854093790574
daccord,0,0.8825616803908831
daccord,2,0.003424907083107471
daccord,1,0.11401341252600945
je,0,0.26188711064715076
je,2,0.08721658484065059
je,3,0.0029793370911123315
je,1,0.6479169674210863
dans,0,0.8909039481637175
dans,2,0.002933195862568934
dans,1,0.10616285597371347
ferai,4,0.0774543981038687
ferai,2,0.31732277682508164
ferai,3,0.5756871543124991
ferai,5,0.0024653915151272125
ferai,1,0.02707027924342334
merci,7,0.0008108232889081796
merci,4,0.5183267041476846
merci,3,0.15567770690167837
merci,5,0.29081489747270284
merci,6,0.034369868189025876
il,0,0.10073310989936664
il,2,0.13111574646379945
il,3,0.0061016231382081615
il,1,0.7620495204986257
lirrecevabilité,0,0.8921805699153096
lirrecevabilité,2,0.0029762374167276746
lirrecevabilité,1,0.1048431926679627
segni,0,0.8334661785701901
segni,2,0.00711721715310657
segni,1,0.15941660427670323
au,0,0.8921805699153096
au,2,0.0029762374167276746
au,1,0.1048431926679627
larticle,0,0.8921805699153096
larticle,2,0.0029762374167276746
larticle,1,0.10484319266796267
si,7,0.2612380472250203
si,9,0.0003798091718601689
si,8,0.022514734372555127
si,5,0.18633614247959138
si,6,0.529531266750973
qui,0,0.8921805699153096
qui,2,0.0029762374167276746
qui,1,0.10484319266796271
un,0,0.8921805699153096
un,2,0.0029762374167276746
un,1,0.10484319266796271
soutenus,0,0.8909039481637171
soutenus,2,0.0029331958625689455
soutenus,1,0.10616285597371392
cest,0,0.826051752087834
cest,2,0.008157778336359741
cest,1,0.1657904695758063
cas,0,0.7875524272325951
cas,2,0.012248429720757872
cas,1,0.20019914304664696
