fre,eng,prob
contre,now,0.09364927636458108
contre,speaking,0.08446671061628713
contre,against,0.09532336010926175
contre,shall,0.09575964970411814
contre,we,0.11112205421283376
contre,this,0.0977356709327959
contre,wurtz,0.09800467471105011
contre,request,0.11094190060933833
contre,hear,0.10187464852720493
contre,mr,0.11112205421251876
observe,the,0.03436041392110056
observe,silence,0.0319824270287871
observe,rose,0.039778535237304
observe,minutes,0.03545119646253478
observe,house,0.7566722489945371
observe,observed,0.03508009779291667
observe,and,0.03633491059724218
observe,a,0.030340169965576053
null,loose,0.00040167165927324736
null,would,0.0036220431232488657
null,municipalities,0.00040167165927324703
null,that,0.0025514654240577175
null,vote,0.002850641526098071
null,gives,0.0009306209527204903
null,an,0.004455378125263351
null,make,0.001953550174932569
null,thank,0.0030547616604231055
null,member,0.0005421681459915415
null,poettering,0.004435802052437957
null,there,0.003249821527393336
null,contribution,0.0027681560262675436
null,fuster,0.0008008028677145776
null,and,0.001641339029910446
null,correct,0.00022595891715048753
null,extremely,0.000659577060317807
null,rise,0.0006766864623303894
null,closed,0.005050934909010534
null,comments,0.0024788501134423747
null,broke,0.0004016716592732474
null,happening,0.0017888660327375283
null,point,0.003330856229925717
null,either,0.0013379541292166243
null,minimum,0.00030222461366335003
null,shall,0.002374376211222459
null,lot,0.00117871151500488
null,mention,0.0005307343385704331
null,advisers,0.0006069411181599848
null,they,0.00022595891715048732
null,thought,0.0008776455531277673
null,pointed,0.0006745229263808424
null,my,0.0032780995700671606
null,hope,0.000501491082899573
null,but,0.00038328868976952337
null,minutes,0.0012252395130381045
null,coup,0.0005405803066938235
null,mentioned,0.0008500996010846052
null,case,0.0007986313253441545
null,if,0.00099059867436186
null,necessary,0.0003115011399816926
null,be,0.0036920226178424865
null,with,0.0007847853525136173
null,seem,0.0011570709914345075
null,berenguer,0.0008008028677145776
null,matter,0.004082136896238968
null,important,0.004455378125263353
null,so,0.0006220108399204055
null,short,0.0008865137835993383
null,at,0.0004759781801508793
null,people,0.0007659255617093641
null,a,0.015185153690436643
null,excellent,0.0008407615337978156
null,tomorrow,0.0005625420203364447
null,period,0.0011778986781256196
null,it,0.004784623112529024
null,business,0.0009426255472831681
null,work,0.00029809461684911513
null,the,0.19400013112110753
null,him,0.0006312424966776788
null,does,0.0009685074284387801
null,,0.003443082893717742
null,ppe-de,0.0004397590991252285
null,room,0.0010313052770827935
null,concerns,0.00028588502094722203
null,endorse,0.0009517575848806073
null,also,0.0011321776063413092
null,feasible,0.0019749794136056094
null,against,0.0008095015746117756
null,interim,0.0009306209527204897
null,session,0.0033877954508763817
null,irresponsible,0.0005421681459915427
null,monday,0.0003643521331301438
null,volatile,0.0009535711147484208
null,resumption,0.0026280601823728596
null,amended,0.0009284103267523996
null,call,0.0008227306967634045
null,by,0.0011758321139396393
null,silence,0.0018005061159130638
null,have,0.0015806777967136032
null,did,0.00277318393478307
null,you,0.0063301045326212306
null,light,0.0007295069344552175
null,observed,0.0006686886043718817
null,group,0.0026074476089306214
null,do,0.002022528447895006
null,suggested,0.0006775684984400257
null,accordance,0.0007847853525136173
null,report,0.0012978480844140475
null,not,0.0052949551602865606
null,third,0.0006334794695188959
null,final,0.0006194178291756118
null,for,0.004942023141310561
null,transport,0.0015037060575247788
null,military,0.0005405803066938236
null,please,0.0006766864623303894
null,alexander,0.001093962965139487
null,declared,0.00031648173249619865
null,hell,0.0004016716592732476
null,refuse,0.0005421681459915414
null,mr,0.006978194156370203
null,thus,0.0006491023839731789
null,president,0.004480671081023334
null,segni,0.0006116558256231263
null,now,0.0003492062213617626
null,decisions,0.0004428693253877717
null,relating,0.0037784860949034286
null,done,0.0002902103155144802
null,one,0.001847628858983665
null,therefore,0.0007847853525136146
null,road,0.0019582119989138167
null,evans,0.0005359658468492924
null,this,0.0465622158646827
null,out,0.0008549471048909768
null,hear,0.0003798775863066652
null,agenda,0.0005626768597477206
null,wednesday,2.2442951513443e-13
null,all,0.0018622552065290247
null,province,0.0005640508798683724
null,remains,0.00030948616154402846
null,just,0.0008650534567426638
null,addition,0.0006745229263808382
null,we,0.0023449250818404696
null,enforcement,0.0004308672126289466
null,was,0.0031102915285630348
null,agrees,0.000535965846849294
null,quite,0.0008776455531277669
null,will,0.0010176130218983329
null,need,0.0006745229263808379
null,principle,0.0007847853525136174
null,his,0.0007841049886958333
null,future,0.0006742037810735647
null,cox,0.00045678570524740466
null,as,0.001328584285115945
null,to,0.16771023015048045
null,seems,0.0010427112424882135
null,madam,0.0028062494554387664
null,solution,0.001628574540079981
null,taken,0.0004397590991252297
null,in,0.008416209906382022
null,rejected,0.001331943036697555
null,amendments,0.002005869508947229
null,dangerous,0.0015029499718881563
null,then,0.000904002877431255
null,gladly,0.0009039454996308426
null,eu,0.0005421681459915419
null,transparency,0.000674522926380839
null,hänsch,0.00045678570524740493
null,pm,0.0009112110296263822
null,off,0.0004397590991252303
null,greater,0.0006745229263808376
