fre,eng,prob
contre,now,3.987286851667758e-278
contre,speaking,1.4692550590005318e-138
contre,against,1.0
contre,shall,0.0
contre,we,0.0
contre,this,0.0
contre,wurtz,0.0
contre,request,8.144488983385228e-271
contre,hear,0.0
contre,mr,0.0
observe,the,0.0
observe,silence,0.0
observe,rose,3.374682435422249e-24
observe,minutes,0.0
observe,house,1.0
observe,observed,8.742523687988108e-272
observe,and,1.9400114214560175e-304
observe,a,0.0
null,loose,0.0
null,would,2.951032303419822e-177
null,municipalities,0.0
null,that,0.0
null,vote,0.0
null,gives,0.0
null,an,0.0
null,make,0.0
null,thank,1.5516969916306795e-270
null,member,0.0
null,poettering,0.0
null,there,1.0741190193481735e-142
null,contribution,0.0
null,fuster,0.0
null,and,0.0
null,correct,0.0
null,extremely,0.0
null,rise,0.0
null,closed,0.0
null,comments,0.0
null,broke,0.0
null,happening,0.0
null,point,6.532273199059281e-96
null,either,0.0
null,minimum,5.938957416464167e-249
null,shall,0.0
null,lot,0.0
null,mention,0.0
null,advisers,0.0
null,they,0.0
null,thought,0.0
null,pointed,0.0
null,my,4.1809465119246356e-102
null,hope,0.0
null,but,0.0
null,minutes,0.0
null,coup,0.0
null,mentioned,0.0
null,case,0.0
null,if,0.0
null,necessary,0.0
null,be,6.461459457341229e-243
null,with,0.0
null,seem,0.0
null,berenguer,0.0
null,matter,0.0
null,important,0.0
null,so,0.0
null,short,0.0
null,at,0.0
null,people,0.0
null,a,6.25250046724788e-49
null,excellent,0.0
null,tomorrow,0.0
null,period,0.0
null,it,1.530082033883324e-68
null,business,5.403310644130553e-147
null,work,0.0
null,the,0.03418915135720655
null,him,0.0
null,does,0.0
null,,0.0
null,ppe-de,0.0
null,room,0.0
null,concerns,0.0
null,endorse,0.0
null,also,0.0
null,feasible,0.0
null,against,0.0
null,interim,0.0
null,session,0.0
null,irresponsible,0.0
null,monday,0.0
null,volatile,0.0
null,resumption,4.07268293049085e-265
null,amended,0.0
null,call,0.0
null,by,0.0
null,silence,0.0
null,have,0.0
null,did,0.0
null,you,0.0
null,light,0.0
null,observed,0.0
null,group,0.0
null,do,0.0
null,suggested,0.0
null,accordance,0.0
null,report,0.0
null,not,1.6009619754097822e-135
null,third,0.0
null,final,0.0
null,for,2.2027771942518957e-260
null,transport,7.66779368792512e-163
null,military,0.0
null,please,0.0
null,alexander,2.013514401571346e-179
null,declared,0.0
null,hell,0.0
null,refuse,0.0
null,mr,2.2879981517388656e-123
null,thus,0.0
null,president,0.0
null,segni,0.0
null,now,0.0
null,decisions,0.0
null,relating,0.0
null,done,0.0
null,one,0.0
null,therefore,0.0
null,road,0.0
null,evans,0.0
null,this,7.385715323479741e-44
null,out,0.0
null,hear,0.0
null,agenda,0.0
null,wednesday,0.0
null,all,0.0
null,province,0.0
null,remains,0.0
null,just,0.0
null,addition,0.0
null,we,0.0
null,enforcement,0.0
null,was,0.0
null,agrees,0.0
null,quite,0.0
null,will,5.908789018626079e-118
null,need,0.0
null,principle,0.0
null,his,0.0
null,future,0.0
null,cox,0.0
null,as,6.2802526520867196e-285
null,to,1.5038762110085377e-33
null,seems,0.0
null,madam,1.8850111240159615e-129
null,solution,0.0
null,taken,0.0
null,in,2.524505405020312e-103
null,rejected,0.0
null,amendments,0.0
null,dangerous,0.0
null,then,0.0
null,gladly,0.0
null,eu,0.0
null,transparency,0.0
null,hänsch,0.0
null,pm,0.0
null,off,0.0
null,greater,0.0
null,applause,0.0
null,said,0.0
null,some,0.0
null,should,0.0
null,competitive,0.0
null,order,0.0
null,no,0.0
null,welcomed,0.0
null,met,0.0
null,take,0.0
null,may,0.0
null,positions,0.0
null,favour,0.0
null,already,0.0
null,parliament,0.0
null,happen,0.0
null,pity,0.0
null,check,0.0
null,acceptable,1.0880624223469095e-84
null,greatly,0.0
null,tuesday,0.0
null,proposed,0.0
null,them,0.0
null,situation,0.0
null,rose,2.0170247127585274e-211
null,house,0.0
null,know,6.07535289182164e-290
null,from,0.0
null,like,1.591867495883161e-211
null,goods,0.0
null,issue,0.0
null,presidency,0.0
null,risk,0.0
null,fact,0.0
null,sense,0.0
null,debate,1.4295735912945587e-279
null,of,2.4579710666374097e-43
null,ask,0.0
null,superb,0.0
null,positive,0.0
null,examined,0.0
null,is,0.9658108486427934
null,request,0.0
null,properly,0.0
null,however,3.626325746487484e-283
null,has,7.2365361016127844e-214
null,safety,0.0
null,standards,0.0
null,congratulate,0.0
null,kind,0.0
