fre,eng,prob
parlement,the,0.020604965867013703
parlement,silence,0.023370742132435625
parlement,rose,0.229180935098401
parlement,minutes,0.023370742133082347
parlement,house,0.2291794439390636
parlement,observed,0.229180935098401
parlement,and,0.229180935098401
parlement,a,0.015931300633378456
une,madam,0.024577537742448176
une,a,0.7868846400548973
une,and,0.010844460272070283
une,silence,0.00981169519778121
une,minutes,0.009811695198098363
une,point,0.02429540778535485
une,the,0.008465677698896642
une,observed,0.010844460272070275
une,of,0.018550218588519508
une,president,0.025475580544806028
une,rose,0.010844460272070285
une,on,0.025268117813790954
une,order,0.024781109603760954
une,house,0.010844778149944763
sagit,of,0.03619125360752246
sagit,the,0.024813863691468017
sagit,is,0.23046597333388286
sagit,case,0.2309703770638201
sagit,it,0.021449546523455407
sagit,alexander,0.23097037706382226
sagit,nikitin,0.22513860871599642
observe,the,0.10919169756249338
observe,silence,0.122921720534403
observe,rose,0.1398922808381979
observe,minutes,0.12292172053766967
observe,house,0.1398918347688737
observe,observed,0.13989228083819785
observe,and,0.13989228083819785
observe,a,0.08539618408195951
cette,please,0.15962397310320006
cette,this,0.15962348308165256
cette,silence,0.10094031224196572
cette,rise,0.15962397310320003
cette,minutes,0.10094031226357524
cette,then,0.15962397310319995
cette,for,0.15962397310319992
du,of,0.14944881828272316
du,the,0.10349943589322673
du,is,0.16385857687398434
du,case,0.16405459282912568
du,it,0.09102939046268795
du,alexander,0.1640545928291258
du,nikitin,0.16405459282912588
cela,done,0.08247767957805943
cela,relative,0.08291772268481042
cela,that,0.0671496543753941
cela,this,0.08193198986872964
cela,it,0.04561712730317396
cela,stability,0.08291772268481046
cela,the,0.06798891742392309
cela,says,0.08291772268424236
cela,principle,0.0829177226848104
cela,be,0.08291772268481049
cela,should,0.08291772268481046
cela,of,0.07441057265761587
cela,despite,0.08291772268481046
invite,please,0.1937226628461266
invite,this,0.19372143492122507
invite,silence,0.015693956845343814
invite,rise,0.19372266284612663
invite,minutes,0.015693956848966347
invite,then,0.19372266284612652
invite,for,0.19372266284612652
null,inadmissibility,0.003102575321366215
null,we,0.00247428387732722
null,would,0.0020698194581455815
null,agrees,0.0026520089831582245
null,relative,0.0015830095082887605
null,that,0.0020604303991866952
null,principle,0.0015830095082887605
null,thank,0.003605011395222051
null,of,0.1305184994110186
null,as,0.002652008983158224
null,madam,0.009514802900267464
null,is,0.014646393521823557
null,and,0.006195926316026895
null,silence,0.01139932096520683
null,rise,0.0036866217674597556
null,have,0.0024310193752817484
null,in,0.0024531818036602287
null,point,0.009397982179673789
null,has,0.00265200898315823
null,you,0.003605011395222051
null,says,0.0015830095084910852
null,observed,0.006195926316026896
null,do,0.005675926866509
null,shall,0.005675926866509
null,on,0.009713773594522824
null,suggested,0.0034755225957126172
null,then,0.003686621767459755
null,gladly,0.005294597619451986
null,accordance,0.0024742838773272172
null,nikitin,0.015185110714788954
null,for,0.003686621767459758
null,please,0.0036866217674597565
null,minutes,0.00811546622737408
null,alexander,0.011994146149384821
null,stability,0.0022655148092359384
null,i,0.0034311576686438675
null,about,0.0020698194581455784
null,case,0.011994146149384826
null,if,0.002652008983158222
null,concerning,0.0020698194581455776
null,be,0.0015830095082887627
null,should,0.0015830095082887627
null,mr,0.005675926866509
null,with,0.0024742838773272172
null,president,0.009839464101807974
null,order,0.014928351405615397
null,segni,0.0036050113952220517
null,always,0.0024742838773272216
null,so,0.003605011395222054
null,done,0.001576007557038004
null,principles,0.002474283877327219
null,a,0.009724050273480632
null,your,0.0020698194581455806
null,evans,0.0026520089831582275
null,this,0.007742974107095152
null,advice,0.0020698194581455793
null,it,0.006968160755516579
null,the,0.5627830498871701
null,upheld,0.003142633787616875
null,rule,0.0020698194581455767
null,all,0.0023817097092223567
null,rose,0.00619592631602689
null,despite,0.0015830095082887622
null,house,0.008868713531317515
null,,0.0020698194581455767
null,like,0.0020698194581455815
nous,accordance,0.08245324358727595
nous,is,0.08245324358631612
nous,we,0.08245324358727601
nous,principles,0.0824532435872759
nous,this,0.08127868547214574
nous,that,0.028067089056852436
nous,have,0.08078895913067483
nous,in,0.081538907402903
nous,the,0.07222280105104946
nous,upheld,0.08245324358727603
nous,with,0.0824532435872759
nous,all,0.07893085277640426
nous,always,0.08245324358727601
et,accordance,0.0821631793029821
et,is,0.08216317930807195
et,we,0.08216317930298224
et,principles,0.08216317930298218
et,this,0.08167165495175467
et,that,0.02820278868639446
et,have,0.0812185667066607
et,in,0.08192103567685995
et,the,0.07257198608150418
et,upheld,0.08216317930298217
et,with,0.08216317930298213
et,all,0.07927171277084771
et,always,0.0821631793029822
toujours,accordance,0.082453243587276
toujours,is,0.08245324358631617
toujours,we,0.08245324358727607
toujours,principles,0.08245324358727596
toujours,this,0.08127868547214578
toujours,that,0.028067089056852453
toujours,have,0.08078895913067488
toujours,in,0.08153890740290305
toujours,the,0.0722228010510495
toujours,upheld,0.08245324358727608
toujours,with,0.08245324358727596
toujours,all,0.07893085277640431
toujours,always,0.08245324358727607
nikitin,of,0.14944881828272313
nikitin,the,0.1034994358932267
nikitin,is,0.16385857687398428
nikitin,case,0.16405459282912563
nikitin,it,0.09102939046268792
nikitin,alexander,0.16405459282912577
nikitin,nikitin,0.16405459282912582
relative,done,0.08247767957805943
relative,relative,0.08291772268481042
relative,that,0.0671496543753941
relative,this,0.08193198986872964
relative,it,0.04561712730317396
relative,stability,0.08291772268481046
relative,the,0.06798891742392309
relative,says,0.08291772268424236
relative,principle,0.0829177226848104
relative,be,0.08291772268481049
relative,should,0.08291772268481046
relative,of,0.07441057265761587
relative,despite,0.08291772268481046
fait,done,0.08247767957805936
fait,relative,0.08291772268481035
fait,that,0.06714965437539404
fait,this,0.08193198986872959
fait,it,0.04561712730317393
fait,stability,0.0829177226848104
fait,the,0.06798891742392305
fait,says,0.08291772268424229
fait,principle,0.08291772268481033
fait,be,0.08291772268481043
fait,should,0.0829177226848104
fait,of,0.07441057265761582
fait,despite,0.0829177226848104
principes,accordance,0.08245324358727595
principes,is,0.0824532435863161
principes,we,0.082453243587276
principes,principles,0.08245324358727589
principes,this,0.08127868547214573
principes,that,0.028067089056852432
principes,have,0.08078895913067481
principes,in,0.08153890740290298
principes,the,0.07222280105104945
principes,upheld,0.08245324358727601
principes,with,0.08245324358727589
principes,all,0.07893085277640426
principes,always,0.082453243587276
minute,a,0.045461429712818524
minute,and,0.07110947583293262
minute,for,0.06373094750497413
minute,please,0.06373094750497411
minute,this,0.06373331989099844
minute,silence,0.14708922238893649
minute,rise,0.0637309475049741
minute,minutes,0.1470892223870279
minute,the,0.058129186184670625
minute,observed,0.07110947583293262
minute,rose,0.0711094758329326
minute,house,0.07111123270379194
minute,then,0.06373094750497409
présidente,point,0.15319036389767499
présidente,madam,0.16274028829894077
présidente,of,0.11930813435352566
présidente,president,0.15782835632628442
présidente,on,0.15662599497236623
présidente,order,0.15493588035261044
présidente,a,0.09537098179859403
suggéré,agrees,0.09049124544666672
suggéré,evans,0.09049124544666697
suggéré,i,0.050845633324958846
suggéré,has,0.09049124544666697
suggéré,the,0.05712765873012085
suggéré,if,0.09049124544666674
suggéré,mr,0.08620543868486542
suggéré,do,0.08620543868486544
suggéré,shall,0.08620543868486541
suggéré,as,0.09049124544666694
suggéré,house,0.09046291921027734
suggéré,suggested,0.09049124544666697
malgré,done,0.08247767957805936
malgré,relative,0.08291772268481035
malgré,that,0.06714965437539404
malgré,this,0.08193198986872959
malgré,it,0.04561712730317393
