fre,eng,prob
accord,we,0.007807999135359705
accord,not,0.007846469195538093
accord,would,0.008994880266316226
accord,that,0.006825478762894951
accord,entirely,0.2676017353980445
accord,assent,0.04135381466108718
accord,i,0.007636669901994479
accord,agreement,0.033855307636704815
accord,about,0.00893151984311846
accord,share,0.00892187701557211
accord,mr,0.007263362411544402
accord,appear,0.27387546102653104
accord,are,0.007639200596400348
accord,view,0.008707060189957616
accord,parliament,0.02589147637939841
accord,actually,0.007386954808219172
accord,this,0.007721089951643451
accord,it,0.00744034812848526
accord,in,0.00873735191329175
accord,haarders,0.008926315788569691
accord,gave,0.04110411420548553
accord,do,0.008928617703603675
accord,its,0.18660289508023878
ont,brake,0.0012110472211777558
ont,come,0.0011642089054603407
ont,introduced,0.08256844852200902
ont,we,0.00351998163918503
ont,was,0.002331074519722521
ont,that,0.0045012258910956835
ont,apply,0.0011777443015737689
ont,say,0.004098836983482004
ont,right,0.006137470268450637
ont,codes,0.003363346658696706
ont,to,0.021900556503793203
ont,downfall,0.0012854671294904724
ont,member,0.0027776004308852527
ont,there,0.0042651562873201685
ont,and,0.0038921592806446643
ont,natural,0.006883428401587859
ont,in,0.009477193158917433
ont,amendments,0.002363989018378674
ont,point,0.0007650843068255517
ont,note,0.0011867198577807526
ont,community,0.0034622634830735587
ont,were,0.012054222047999151
ont,join,0.003371140953890037
ont,they,0.01204252559903335
ont,thors,0.0009634669753755502
ont,but,0.0027400578886784635
ont,very,0.001019055647896505
ont,various,0.004532503105897628
ont,saved,0.003005986466395326
ont,practice,0.0012868927191619708
ont,four,0.002437222108252447
ont,which,0.005320272050760486
ont,true,0.0012772236748477847
ont,mrs,0.0010583438086026395
ont,presented,0.004303370973417682
ont,deficiencies,0.0012270510042951773
ont,a,0.011753754778740797
ont,confidence,0.0028127152250388603
ont,favour,0.00427917827916531
ont,already,0.0011361201484396924
ont,it,0.005698840380537454
ont,structural,0.0012329791031500561
ont,particular,0.003439039655371519
ont,their,0.0022668871841377354
ont,the,0.01516674383516668
ont,proposed,0.0026466944204409275
ont,miracle,0.002974651823768589
ont,cyprus,0.0028824842581916467
ont,having,0.0024611658024064616
ont,asked,0.003474690748348467
ont,referred,0.0007445113397721826
ont,resource,0.002368264853854346
ont,also,0.001315095140086832
ont,concrete,0.003931065571289695
ont,of,0.006700567183358823
ont,measures,0.005984346190261853
ont,availability,0.002526250457530587
ont,discussed,0.005068393524687496
ont,is,0.003358096321114338
