fre,eng,prob
contre,now,0.17603457742528478
contre,speaking,0.17603457742528478
contre,against,0.006140039532034709
contre,shall,0.11626669773724331
contre,we,0.0005485597599750127
contre,this,1.6956100239881436e-10
contre,wurtz,0.17603457742528478
contre,request,0.13191820919328284
contre,hear,0.17603457742528478
contre,mr,0.0409881839067641
observe,the,1.082484895458778e-12
observe,silence,2.094313130123427e-6
observe,rose,0.25043506860326553
observe,minutes,2.094313130123427e-6
observe,house,0.25043506860326564
observe,observed,0.25043506860326553
observe,and,0.24869032188542378
observe,a,2.836774370540455e-7
null,loose,9.845461475877107e-30
null,would,8.962669345246646e-12
null,municipalities,9.845461475877107e-30
null,that,4.9135813317630056e-14
null,vote,4.527915227850133e-15
null,gives,3.973588423176248e-28
null,an,2.715209544388887e-17
null,make,9.998673816391433e-20
null,thank,5.061810940599155e-21
null,member,2.7454541889457568e-31
null,poettering,1.4698281684650424e-28
null,there,7.112279161542977e-16
null,contribution,9.33990442184703e-28
null,fuster,2.0182895114734107e-29
null,and,3.2891863853938924e-15
null,correct,2.64566673495884e-26
null,extremely,6.317770779541139e-31
null,rise,1.5374276082686183e-28
null,closed,6.621019010780065e-32
null,comments,9.998673816391433e-20
null,broke,9.845461475877107e-30
null,happening,1.0087284402675004e-29
null,point,2.8126747913926513e-12
null,either,4.592826182770186e-35
null,minimum,4.947022169612056e-28
null,shall,1.8527339474348774e-14
null,lot,5.045632715140165e-26
null,mention,3.919658148234123e-27
null,advisers,4.363691540681114e-30
null,they,2.64566673495884e-26
null,thought,2.1726385193521713e-24
null,pointed,1.7866600445630566e-30
null,my,6.321180521275778e-10
null,hope,1.9928765855434595e-30
null,but,7.945620512186946e-29
null,minutes,5.14430579695625e-24
null,coup,3.816129195212156e-27
null,mentioned,4.87314922667466e-23
null,case,3.077038944199265e-29
null,if,5.904907884441582e-20
null,necessary,2.64566673495884e-26
null,be,9.483130118622221e-11
null,with,4.92163330710652e-27
null,seem,5.303524999671454e-28
null,berenguer,2.0182895114734107e-29
null,matter,4.983617980673678e-18
null,important,2.715209544388887e-17
